Nu,Er
1006,3.48768353462219
1007,3.47183656692505
1004,1.73231971263886
1007,3.49232721328735
1002,3.44034099578857
1007,3.48720383644104
1006,3.52849578857422
1004,3.45444297790527
1004,3.39506959915161
1007,1.75803530216217
1006,3.54207062721252
1005,3.46051621437073
1007,3.44958090782166
1010,3.4794602394104
1009,3.49830794334412
1005,1.54642176628113
1005,3.46860313415527
1005,3.50594067573547
1010,3.52360796928406
1004,3.47478127479553
1004,3.42640471458435
1005,1.58213114738464
1008,3.53777241706848
1007,0.746746301651001
1008,7.00468111038208
1008,3.49159026145935
1005,3.52698302268982
1011,3.49699759483337
1004,3.48092651367187
1005,3.49939036369324
1006,3.51050901412964
1003,3.44626784324646
1007,3.46034622192383
1003,3.45217561721802
1006,3.52066159248352
1006,3.4540388584137
1007,3.48864793777466
1008,3.46410536766052
1010,1.65434157848358
1007,3.4716854095459
1005,3.45301818847656
1005,3.49935936927795
1002,0.735843062400818
1007,3.53419876098633
1004,3.46276354789734
1009,0.675289332866669
1004,3.48377633094788
